Ano,Componente,Questão,Gabarito,Identificador
1º,Língua Portuguesa,1,A,PZD677983
1º,Língua Portuguesa,2,B,PZD677983
1º,Língua Portuguesa,3,C,PZD677983
1º,Língua Portuguesa,4,A,PZD677983
1º,Língua Portuguesa,5,B,PZD677983
1º,Língua Portuguesa,6,B,PZD677983
1º,Língua Portuguesa,7,A,PZD677983
1º,Língua Portuguesa,8, ,PZD677983
1º,Língua Portuguesa,9,B,PZD677983
1º,Língua Portuguesa,10,A,PZD677983
1º,Língua Portuguesa,11,B,PZD677983
1º,Língua Portuguesa,12,C,PZD677983
1º,Língua Portuguesa,13,B,PZD677983
1º,Língua Portuguesa,14,C,PZD677983
1º,Língua Portuguesa,15,A,PZD677983
1º,Língua Portuguesa,16,A,PZD677983
1º,Língua Portuguesa,17,D,PZD677983
1º,Língua Portuguesa,18,A,PZD677983
1º,Língua Portuguesa,19,B,PZD677983
1º,Língua Portuguesa,20,B,PZD677983
1º,Língua Portuguesa,21,C,PZD677983
1º,Língua Portuguesa,22,C,PZD677983
