Ano,Componente,Questão,Gabarito,Identificador
2º,Língua Portuguesa,1,C,NFI570825
2º,Língua Portuguesa,2,D,NFI570825
2º,Língua Portuguesa,3,A,NFI570825
2º,Língua Portuguesa,4,B,NFI570825
2º,Língua Portuguesa,5,B,NFI570825
2º,Língua Portuguesa,6,C,NFI570825
2º,Língua Portuguesa,7,D,NFI570825
2º,Língua Portuguesa,8,B,NFI570825
2º,Língua Portuguesa,9,B,NFI570825
2º,Língua Portuguesa,10,A,NFI570825
2º,Língua Portuguesa,11,C,NFI570825
2º,Língua Portuguesa,12,B,NFI570825
2º,Língua Portuguesa,13, ,NFI570825
2º,Língua Portuguesa,14,B,NFI570825
2º,Língua Portuguesa,15,C,NFI570825
2º,Língua Portuguesa,16,B,NFI570825
2º,Língua Portuguesa,17,A,NFI570825
2º,Língua Portuguesa,18,B,NFI570825
2º,Língua Portuguesa,19,C,NFI570825
2º,Língua Portuguesa,20,A,NFI570825
2º,Língua Portuguesa,21,B,NFI570825
2º,Língua Portuguesa,22,,NFI570825
